"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",4061453
"Ansonia","0900901220","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",18803045
"Ashford","0901501430","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",5137130
"Avon","0900302060","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",37418666
"Barkhamsted","0900502760","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",5786513
"Beacon Falls","0900903250","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",5623185
"Berlin","0900304300","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",36145455
"Bethany","0900904580","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",9733273
"Bethel","0900104720","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",30978843
"Bethlehem","0900504930","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",5262319
"Bloomfield","0900305910","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",39102837
"Bolton","0901306260","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",8073347
"Bozrah","0901106820","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",2806399
"Branford","0900907310","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",52999927
"Bridgeport","0900108070","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",159152733
"Bridgewater","0900508210","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",4407962
"Bristol","0900308490","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",68851000
"Brookfield","0900108980","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",30565950
"Brooklyn","0901509190","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",6454577
"Burlington","0900310100","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",13638508
"Canaan","0900510940","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",2720575
"Canterbury","0901512130","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",4961507
"Canton","0900312270","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",16556733
"Chaplin","0901513810","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",2514705
"Cheshire","0900914160","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",52889231
"Chester","0900714300","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",6669059
"Clinton","0900715350","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",23046280
"Colchester","0901115910","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",18531524
"Colebrook","0900516050","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",3168478
"Columbia","0901316400","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",7657052
"Cornwall","0900517240","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",3462606
"Coventry","0901317800","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",14047597
"Cromwell","0900718080","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",19874660
"Danbury","0900118500","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",102370964
"Darien","0900118850","SFY 2000-2001","Number","Current Year Adjusted Taxes Collectible",54631487
